,单词,中文释义,音标,学期,单元
187,carnation,康乃馨,[kɑː'neɪʃ(ə)n],二年级下册,Unit8-12
188,hungry,饿的,['hʌŋgrɪ],二年级下册,Unit8-12
189,thirsty,渴的,['θɜːstɪ],二年级下册,Unit8-12
190,bread,面包,[bred],二年级下册,Unit8-12
191,milk,牛奶,[mɪlk],二年级下册,Unit8-12
192,hello    ,(用于打招呼)喂，你好,[həˈləʊ],三年级上册,Unit1-3
193,morning,早晨，上午,['mɔːnɪŋ],三年级上册,Unit1-3
194,Miss,小姐（未婚女士）,[mɪs],三年级上册,Unit1-3
195,I,我,[aɪ],三年级上册,Unit1-3
196,good,好的,[gʊd],三年级上册,Unit1-3
197,Mr,先生,[ˈmɪstə],三年级上册,Unit1-3
198,Mrs,太太,[ˈmɪsɪz],三年级上册,Unit1-3
199,are,是（复数）,[ɑ:(r)],三年级上册,Unit1-3
200,fine,健康的；身体很好的,[faɪn],三年级上册,Unit1-3
201,goodbye,再见,[gʊd'baɪ],三年级上册,Unit1-3
202,hi,（用于打招呼）喂，嗨,[haɪ],三年级上册,Unit1-3
203,thank,谢谢,[θæŋk],三年级上册,Unit1-3
204,you,你，你们,[juː],三年级上册,Unit1-3
205,boy,男孩,[bɒɪ],三年级上册,Unit1-3
206,girl,女孩,[gɜːl],三年级上册,Unit1-3
207,am,是,[æm],三年级上册,Unit1-3
208,no,不  ，不是,[nəʊ],三年级上册,Unit1-3
209,not,不是,[nɒt],三年级上册,Unit1-3
210,yes,是；对,[jes],三年级上册,Unit1-3
211,tall,高的,[tɔːl],三年级上册,Unit4-5
212,short,矮的；短的,[ʃɔːt],三年级上册,Unit4-5
213,fat,胖的,[fæt],三年级上册,Unit4-5
214,thin,瘦的,[θɪn],三年级上册,Unit4-5
215,friend,朋友,[frend],三年级上册,Unit4-5
216,is,是,[ɪz],三年级上册,Unit4-5
217,he,他（指男性）,[hiː],三年级上册,Unit4-5
218,she,她（指女性）,[ʃiː],三年级上册,Unit4-5
219,my,我的,[maɪ],三年级上册,Unit4-5
220,this,这；这个,[ðɪs],三年级上册,Unit4-5
221,father,父亲；爸爸,['fɑːðə],三年级上册,Unit4-5
222,mother,母亲；妈妈,['mʌðə],三年级上册,Unit4-5
223,brother,哥哥；弟弟,['brʌðə],三年级上册,Unit4-5
224,sister,姐姐；妹妹,['sɪstə],三年级上册,Unit4-5
225,me,我,[miː],三年级上册,Unit4-5
226,beautiful,美丽的,[ˈbju:tɪfl],三年级上册,Unit4-5
227,who,谁,[huː],三年级上册,Unit4-5
228,family,家,[ˈfæməlɪ],三年级上册,Unit4-5
229,hair,头发,[heə],三年级上册,Unit6-7
230,eye,眼睛,[aɪ],三年级上册,Unit6-7
231,ear,耳朵,[ɪə],三年级上册,Unit6-7
232,nose,鼻子,[nəʊz],三年级上册,Unit6-7
233,mouth,口；嘴巴,[maʊθ],三年级上册,Unit6-7
234,face,脸；面孔,[feɪs],三年级上册,Unit6-7
235,big,大的,[bɪg],三年级上册,Unit6-7
236,long,长的,[lɒŋ],三年级上册,Unit6-7
237,look,看,[lʊk],三年级上册,Unit6-7
238,small,小的,[smɔːl],三年级上册,Unit6-7
239,blackboard,黑板,['blækbɔːd],三年级上册,Unit6-7
240,door,门,[dɔː],三年级上册,Unit6-7
241,window,窗；窗户,['wɪndəʊ],三年级上册,Unit6-7
242,clean,把…擦干净；打扫,[kliːn],三年级上册,Unit6-7
243,please,请，劳烦…,[pliːz],三年级上册,Unit6-7
244,late,迟到,[leɪt],三年级上册,Unit6-7
245,look at,看,,三年级上册,Unit6-7
246,open,打开,['əʊp(ə)n],三年级上册,Unit6-7
247,close,关上,[kləʊs],三年级上册,Unit6-7
248,the,表示特指,[ðə;ði:],三年级上册,Unit6-7
249,a(an),一；一个,,三年级上册,Unit8-9
250,apple,苹果,['æp(ə)l],三年级上册,Unit8-9
251,banana,香蕉,[bə'nɑːnə],三年级上册,Unit8-9
252,orange,桔子,['ɒrɪn(d)ʒ],三年级上册,Unit8-9
253,pear,梨,[peə],三年级上册,Unit8-9
254,dad,爸爸（口语）,[dæd],三年级上册,Unit8-9
255,good,好的,[gʊd],三年级上册,Unit8-9
256,here,这里,[hɪə],三年级上册,Unit8-9
257,how much,（用于问价钱）多少,[mʌtʃ],三年级上册,Unit8-9
258,they,（他、她、它）们,[ðeɪ],三年级上册,Unit8-9
259,it,它,,三年级上册,Unit8-9
260,chair,椅子,[tʃeə],三年级上册,Unit8-9
261,desk,书桌,[desk],三年级上册,Unit8-9
262,pen,钢笔,[pen],三年级上册,Unit8-9
263,bed,床,[bed],三年级上册,Unit8-9
264,schoolbag,书包,['skuːlbæɡ],三年级上册,Unit8-9
265,book,书,[bʊk],三年级上册,Unit8-9
266,these,这些,[ðiːz],三年级上册,Unit8-9
267,pencil,铅笔,['pens(ə)l],三年级上册,Unit8-9
268,ruler,尺,['ruːlə],三年级上册,Unit8-9
269,mum,妈妈（口语）,[mʌm],三年级上册,Unit8-9
270,your,你的；你们的,[jɔ:(r)],三年级上册,Unit8-9
271,one,一,,三年级上册,Unit10-11
272,two,二,,三年级上册,Unit10-11
273,three,三,,三年级上册,Unit10-11
274,four,四,,三年级上册,Unit10-11
275,five,五,,三年级上册,Unit10-11
276,six,六,,三年级上册,Unit10-11
277,seven,七,,三年级上册,Unit10-11
278,eight,八,,三年级上册,Unit10-11
279,nine,九,,三年级上册,Unit10-11
280,ten,十,,三年级上册,Unit10-11
281,how many,（用于问数量）多少,,三年级上册,Unit10-11
282,mouse,老鼠（复数 mice）,[maʊs],三年级上册,Unit10-11
283,cat,猫,,三年级上册,Unit10-11
284,dog,狗,,三年级上册,Unit10-11
